iter, dur, instcnt
1,0.0226268768311,17190
1,0.00611400604248,10288
1,0.00781798362732,12544
1,0.00629091262817,10375
1,0.00793886184692,10445
1,0.00961899757385,10488
1,0.00550603866577,10332
1,0.00571894645691,10532
1,0.00914096832275,10492
1,0.00714182853699,10375
1,0.00579190254211,10301
1,0.00543403625488,10316
1,0.00578904151917,10529
1,0.00611591339111,10644
1,0.00533413887024,10586
1,0.00623512268066,12811
1,0.00801396369934,10376
1,0.00621104240417,10426
1,0.00668787956238,12182
1,0.000279903411865,11158
1,0.000488996505737,12317
1000,0.0218420028687,177885
1000,0.0124278068542,165500
1000,0.011216878891,163964
1000,0.00795912742615,169097
1000,0.0100450515747,167963
1000,0.0061719417572,165805
1000,0.00552105903625,164171
1000,0.00552201271057,164784
1000,0.00590801239014,165182
1000,0.00606799125671,164067
1000,0.00619196891785,165470
1000,0.00597095489502,164891
1000,0.00771594047546,169568
1000,0.00564122200012,163979
1000,0.00668478012085,163747
1000,0.0057270526886,163676
1000,0.00600910186768,164091
1000,0.00597786903381,164636
1000,0.00558710098267,164331
10000,0.0245242118835,1694198
10000,0.0118131637573,1592376
10000,0.00630521774292,1590954
10000,0.00729084014893,1591264
10000,0.00576281547546,1591347
10000,0.00646114349365,1591025
10000,0.00616097450256,1591140
10000,0.0118019580841,1591486
10000,0.00675392150879,1592021
10000,0.00550508499146,1591269
10000,0.00686502456665,1592334
10000,0.00594019889832,1592041
10000,0.00636005401611,1591233
10000,0.00612902641296,1592514
10000,0.00607514381409,1590554
10000,0.00624704360962,1593420
10000,0.00607585906982,1591068
10000,0.0060179233551,1590617
10000,0.00837707519531,1591353
100000,0.0284969806671,16859681
100000,0.010066986084,15858880
100000,0.00951886177063,15859310
100000,0.0175700187683,15872002
100000,0.0115280151367,15859206
100000,0.0132150650024,15859649
100000,0.00981903076172,15866793
100000,0.00895500183105,15859322
100000,0.010162115097,15860425
100000,0.00869393348694,15859177
100000,0.0121970176697,15859889
100000,0.0105109214783,15858881
100000,0.00834393501282,15858978
100000,0.00838804244995,15858766
100000,0.00832295417786,15859073
100000,0.00934791564941,15858765
100000,0.0120279788971,15858637
100000,0.0134530067444,15859075
100000,0.0106630325317,15859101
1000000,0.0480289459229,168509905
1000000,0.0398581027985,158542093
1000000,0.0360379219055,158540375
1000000,0.0382769107819,158553218
1000000,0.0337131023407,158540534
1000000,0.0365200042725,158540313
1000000,0.0352969169617,158540202
1000000,0.0364592075348,158540730
1000000,0.0358018875122,158540154
1000000,0.0398209095001,158540267
1000000,0.0347380638123,158541779
1000000,0.0380921363831,158541640
1000000,0.0434000492096,158539835
1000000,0.034520149231,158540249
1000000,0.0347049236298,158539781
1000000,0.0363171100616,158539822
1000000,0.0334448814392,158540205
1000000,0.0476529598236,158540640
1000000,0.0381200313568,158550420
2500000,0.132823944092,421262607
2500000,0.0729780197144,396347217
2500000,0.0748419761658,396347255
2500000,0.080974817276,396353810
2500000,0.0765089988708,396347618
2500000,0.0732378959656,396347937
2500000,0.0715179443359,396351436
2500000,0.0753021240234,396348216
2500000,0.0776290893555,396347080
2500000,0.0722498893738,396353530
2500000,0.0752379894257,396347577
2500000,0.078971862793,396347430
2500000,0.0765879154205,396359134
2500000,0.0737519264221,396349299
2500000,0.0793647766113,396347252
2500000,0.0837509632111,396350828
2500000,0.0712440013885,396347372
2500000,0.101994037628,396347086
2500000,0.0726430416107,396347574
5000000,0.159412145615,842511562
5000000,0.132767915726,792688439
5000000,0.137319803238,792688422
5000000,0.143319129944,792699817
5000000,0.133621931076,792688659
5000000,0.135844945908,792688429
5000000,0.14147901535,792688457
5000000,0.137220859528,792688927
5000000,0.134192943573,792689438
5000000,0.137398004532,792688668
5000000,0.134027957916,792689784
5000000,0.134789943695,792688516
5000000,0.136146068573,792688633
5000000,0.132739067078,792688585
5000000,0.134343147278,792688254
5000000,0.136094093323,792688506
5000000,0.134478092194,792688529
5000000,0.134492874146,792688529
5000000,0.152852058411,792688590
7500000,0.21547293663,1263763583
7500000,0.19842004776,1189031180
7500000,0.209594964981,1189030168
7500000,0.200567007065,1189030030
7500000,0.195374011993,1189029844
7500000,0.196496009827,1189030208
7500000,0.195280075073,1189030105
7500000,0.195719957352,1189030144
7500000,0.197760105133,1189030785
7500000,0.195781946182,1189030060
7500000,0.197256803513,1189031509
7500000,0.197889089584,1189029847
7500000,0.194271087646,1189029740
7500000,0.198314905167,1189031372
7500000,0.225764989853,1189029974
7500000,0.195826053619,1189030088
7500000,0.195124149323,1189030185
7500000,0.221055984497,1189029981
7500000,0.19627904892,1189030217
10000000,0.285227775574,1685011524
10000000,0.258363008499,1585371330
10000000,0.257575035095,1585371982
10000000,0.263566017151,1585373020
10000000,0.280606985092,1585371810
10000000,0.259974002838,1585372401
10000000,0.257873058319,1585372122
10000000,0.258496046066,1585371861
10000000,0.273766040802,1585373109
10000000,0.259347200394,1585372061
10000000,0.25794506073,1585372907
10000000,0.262022018433,1585373418
10000000,0.24432182312,1585371948
10000000,0.261626958847,1585375966
10000000,0.262187957764,1585371759
10000000,0.258748054504,1585371845
10000000,0.25598192215,1585371567
10000000,0.261534929276,1585371692
20000000,0.572943925858,3370004885
20000000,0.509270191193,3170739246
20000000,0.529465198517,3170746021
20000000,0.501214981079,3170738104
20000000,0.504958152771,3170741051
20000000,0.507133960724,3170742610
20000000,0.506140947342,3170737829
20000000,0.50301194191,3170738606
20000000,0.500517129898,3170739954
20000000,0.498493909836,3170737804
20000000,0.501204967499,3170739466
20000000,0.500599861145,3170739532
20000000,0.501648902893,3170744243
20000000,0.503463029861,3170739623
20000000,0.509206056595,3170741582
20000000,0.507959842682,3170744356
20000000,0.501852035522,3170739301
20000000,0.504832983017,3170737996
