perc,nbn,sample,conn,load,meanLat,reqPerSec,nbC
100,2,2,12,1200,4.253,1193.39,10
100,2,2,13,1300,4.530,1293.22,10
100,2,2,14,1400,4.641,1395.29,10
100,2,2,15,1500,5.108,1492.26,10
100,2,2,16,1600,6.178,1591.16,10
100,2,2,17,1700,13.096,1693.24,10
100,2,2,18,1800,29.437,1792.10,10
100,2,2,19,1900,918.035,1798.97,10
100,2,2,20,2000,1729.330,1829.27,10
100,2,2,21,2100,3089.054,1764.27,10
100,2,2,22,2200,3984.360,1748.50,10
100,2,2,23,2300,4287.647,1707.61,10
100,2,2,24,2400,5266.035,1757.06,10
100,2,3,1,100,5.675,99.99,10
100,2,3,2,200,4.726,199.74,10
100,2,3,3,300,4.024,298.59,10
100,2,3,4,400,3.968,397.23,10
100,2,3,5,500,3.981,499.40,10
100,2,3,6,600,3.903,596.31,10
100,2,3,7,700,3.926,692.27,10
100,2,3,8,800,4.025,796.21,10
100,2,3,9,900,3.995,895.02,10
100,2,3,10,1000,3.989,997.72,10
100,2,3,11,1100,4.184,1095.98,10
100,2,3,12,1200,4.257,1193.41,10
100,2,3,13,1300,4.384,1293.04,10
100,2,3,14,1400,4.674,1395.31,10
100,2,3,15,1500,5.259,1492.33,10
100,2,3,16,1600,,10
100,2,3,17,1700,,10
100,2,3,18,1800,,10
100,2,3,19,1900,,10
100,2,3,20,2000,,10
100,2,3,21,2100,,10
100,2,3,22,2200,,10
100,2,3,23,2300,,10
100,2,3,24,2400,,10
